# engine	madaros-linux-x86_64@ff69dae4
# trees	stdlib examples tests/run-pass
file	rc	first_error_code	error_count	parse_errors	first_error_line	all_error_codes
examples/epistemic_fo_second_order/fo_pk_struct_auc_thalf_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_auct_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_cmax_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_fss_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_ld_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_method_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_mrt_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_multidose_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_ptr_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_rac_driver.sio	0	none	0	0		
examples/epistemic_fo_second_order/fo_pk_struct_rho_tau_driver.sio	0	none	0	0		
examples/epistemic_gpu_pipeline.sio	1	E070	3	0		E070x3
examples/epistemic_kan.sio	0	none	0	0		
examples/epistemic_kan_fixed_point.sio	0	none	0	0		
examples/epistemic_kan_trained.sio	1	PARSE	0	2		PARSEx2
examples/epistemic_lm.sio	0	none	0	0		
examples/epistemic_lm_100k.sio	0	none	0	0		
examples/epistemic_lm_32k.sio	0	none	0	0		
examples/epistemic_lm_backprop.sio	0	none	0	0		
examples/epistemic_lm_fileio.sio	0	none	0	0		
examples/epistemic_lm_scaled.sio	0	none	0	0		
examples/epistemic_mcts.sio	0	none	0	0		
examples/epistemic_mcts_full.sio	0	none	0	0		
examples/epistemic_ml_demo.sio	0	none	0	0		
examples/epistemic_preictal_workflow.sio	1	PARSE	0	2		PARSEx2
examples/epistemic_propagation.sio	1	PARSE	0	7	14	PARSEx7
examples/epistemic_quantum_vqe.sio	0	none	0	0		
examples/epistemic_refinements.sio	1	PARSE	0	7	12	PARSEx7
examples/epistemic_smoke_native.sio	1	E245	4	0		E245x2,E012x2
examples/epistemic_transformer.sio	0	none	0	0		
examples/epistemic_viz_demo.sio	1	PARSE	0	3	624	PARSEx3
examples/epistemic_witness_minimal.sio	0	none	0	0		
examples/equivalence_theory/lean_obligation_demo.sio	1	E004	2	0		E004x2
examples/erdos/168_c5_flip.sio	1	E137	20	0		E137x20
examples/erdos/168_c5_flip_loose.sio	1	E137	19	0		E137x19
examples/erdos/168_c_chi3_search.sio	1	E137	44	0		E137x44
examples/erdos/168_chromatic_flip.sio	1	E137	8	0		E137x8
examples/erdos/168_cross_half_flip.sio	1	E137	19	0		E137x19
examples/erdos/168_edge_map.sio	1	E137	22	0		E137x22
examples/erdos/168_edge_map3.sio	1	E137	13	0		E137x13
examples/erdos/168_edge_map3_signed.sio	1	E137	90	0		E137x90
examples/erdos/168_k4_full_check.sio	1	E137	10	0		E137x10
examples/erdos/168_k6_escape.sio	1	E137	14	0		E137x14
examples/erdos/168_kgraph_coloring_test.sio	1	E137	3	0		E137x3
examples/erdos/168_moser_a.sio	0	none	0	0		
examples/erdos/168_orbit_chi.sio	1	E137	28	0		E137x28
examples/erdos/168_orbit_chi6_proof.sio	1	E137	22	0		E137x22
examples/erdos/168_orbit_exact_chi.sio	1	E137	23	0		E137x23
examples/erdos/168_orbit_zd_pairs.sio	1	E137	15	0		E137x15
examples/erdos/168_regime_a1.sio	1	E137	6	0		E137x6
examples/erdos/168_regime_chromatic_probe.sio	0	none	0	0		
examples/erdos/168_zd_regime_a2.sio	1	E137	3	0		E137x3
examples/erdos/cdcl_fast.sio	0	none	0	0		
examples/erdos/cdcl_proof.sio	0	none	0	0		
examples/erdos/degrey_chi5.sio	0	none	0	0		
examples/erdos/degrey_chi5_fast.sio	0	none	0	0		
examples/erdos/degrey_fieldtower.sio	0	none	0	0		
examples/erdos/degrey_fragment_q3q11.sio	0	none	0	0		
examples/erdos/degrey_geometry.sio	0	none	0	0		
examples/erdos/degrey_q3q11_spindle.sio	1	E035	2	0		E035x2
examples/erdos/dpll_scale_wall.sio	0	none	0	0		
examples/erdos/erdos90_cubic_tower_base.sio	0	none	0	0		
examples/erdos/erdos90_repcount_engine.sio	0	none	0	0		
examples/erdos/moser_zd_probe.sio	0	none	0	0		
examples/erdos/native_sat_scale_demo.sio	0	none	0	0		
examples/erdos/nsat_smoke.sio	1	E137	3	0		E137x3
examples/erdos/reproducer_madaros_codegen_2026-06-16g.sio	0	none	0	0		
examples/erdos/sat_proof_kernel.sio	0	none	0	0		
examples/erdos/souc_sat.sio	0	none	0	0		
examples/erdos/spindle_proof_cert.sio	0	none	0	0		
examples/exit42.sio	0	none	0	0		
examples/ffi_demo.sio	0	none	0	0		
examples/ffi_exports.sio	0	none	0	0		
examples/fibonacci.sio	0	none	0	0		
examples/fidelity_demo.sio	0	none	0	0		
examples/financial_risk_epistemic.sio	0	none	0	0		
examples/flow_viz/main.sio	0	none	0	0		
examples/fmri/atlas_demo.sio	1	PARSE	0	3	34	PARSEx3
examples/fmri/connectivity_demo.sio	1	E137	8	0		E137x8
examples/fmri/connectivity_epistemic_demo.sio	1	E137	5	0		E137x5
examples/fmri/nifti_demo.sio	1	E137	3	0		E137x3
examples/fmri/pipeline_demo.sio	1	E015	5	0		E137x3,E015x2
examples/fmri/preprocess_demo.sio	1	E137	2	0		E137x2
examples/fractal/curvature_demo.sio	1	E137	28	0		E137x19,E015x5,E011x4
examples/fractal/dimension_demo.sio	1	E137	3	0		E137x2,E011x1
examples/fractal/entropy_demo.sio	1	E137	4	0		E137x3,E011x1
examples/fractal/gpu/box_counting_demo.sio	1	PARSE	0	2		PARSEx2
examples/fractal/gpu/mod_demo.sio	1	E137	1	0		E137x1
examples/fractal/kec_demo.sio	1	E137	10	0		E137x5,E011x4,E015x1
examples/fractal/lacunarity_demo.sio	1	E019	10	0		E137x3,E015x3,E011x2,E019x1,E013x1
examples/fractal/mod_demo.sio	1	PARSE	0	2		PARSEx2
examples/fractal/multifractal_demo.sio	1	PARSE	0	2		PARSEx2
examples/fractal_g2_ossm.sio	0	none	0	0	223	
examples/fractal_g2_ossm_v2.sio	0	none	0	0	236	
examples/fractal_g2_ossm_v3.sio	0	none	0	0	139	
examples/fusion/eeg_fmri_demo.sio	1	E137	6	0		E137x6
examples/g2_octonion_derivations.sio	1	PARSE	0	2		PARSEx2
examples/g2_projection_preictal.sio	1	PARSE	0	2		PARSEx2
examples/gate_vs_zd_ablation.sio	0	none	0	0	535	
examples/genetic_code_168_demo.sio	0	none	0	0		
examples/genomics_fairness_demo.sio	0	none	0	0		
examples/glm_optimization_demo.sio	1	PARSE	0	5	31	PARSEx5
examples/gpu.sio	0	none	0	0		
examples/gpu/fft_demo.sio	1	PARSE	0	2		PARSEx2
examples/gpu/mod_demo.sio	1	PARSE	0	2		PARSEx2
examples/gpu/smooth_demo.sio	1	PARSE	0	2		PARSEx2
examples/gpu/stats_demo.sio	1	PARSE	0	2		PARSEx2
examples/gpu/vec_add.sio	0	none	0	0		
examples/gpu_epistemic_showcase.sio	0	none	0	0		
examples/gpu_hypercomplex.sio	0	none	0	0		
examples/grand_challenges/euler_line.sio	1	E019	2	0		E019x2
examples/grand_challenges/toxic_peak.sio	1	E019	2	0		E019x2
examples/grand_challenges/turbulence.sio	1	E019	2	0		E019x2
examples/graph/coherence_demo.sio	1	E019	27	0		E019x24,E137x3
examples/graph/curvature_demo.sio	1	E019	21	0		E019x18,E137x3
examples/graph/entropy_demo.sio	1	E019	22	0		E019x20,E137x2
examples/graph/multi_module_demo.sio	1	E019	14	0		E019x14
examples/graphics/demos/phase1_showcase.sio	0	none	0	0		
examples/graphics/demos/phase2_showcase.sio	0	none	0	0		
examples/graphics/demos/phase3_showcase.sio	1	none	0	0	31	
examples/graphics/demos/phase4_showcase.sio	1	PARSE	0	2		PARSEx2
examples/graphics/demos/phase5_showcase.sio	1	PARSE	0	2	213	PARSEx2
examples/graphics/demos/phase6_showcase.sio	1	PARSE	0	2	69	PARSEx2
examples/graphics/demos/phase7_showcase.sio	1	PARSE	0	2	962	PARSEx2
examples/graphics/lib/00_canvas.sio	0	none	0	0		
examples/graphics/lib/00_canvas_simple.sio	0	none	0	0		
examples/graphics/lib/01_colors.sio	0	none	0	0		
examples/graphics/lib/02_drawing.sio	0	none	0	0		
examples/graphics/lib/03_text.sio	0	none	0	0		
examples/graphics/lib/10_axes.sio	0	none	0	0		
examples/graphics/lib/11_scatter.sio	0	none	0	0		
examples/graphics/lib/12_line_plot.sio	0	none	0	0		
examples/graphics/lib/13_bar_chart.sio	0	none	0	0		
examples/graphics/lib/14_histogram.sio	0	none	0	0		
examples/graphics/lib/15_heatmap.sio	0	none	0	0		
examples/graphics/lib/20_projection.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/21_wireframe.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/23_scatter3d.sio	1	none	0	0		
examples/graphics/lib/30_input.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/31_interactive_plot.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/40_animation.sio	0	none	0	0		
examples/graphics/lib/41_particle_system.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/42_fluid_sim.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/50_phase_diagram.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/51_bifurcation.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/52_poincare.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/53_streamlines.sio	1	PARSE	0	2		PARSEx2
examples/graphics/lib/60_graph.sio	0	none	0	0		
examples/graphics/lib/61_force_directed.sio	0	none	0	0		
examples/graphics/lib/62_tree_layout.sio	0	none	0	0		
examples/graphics/lib/63_graph_render.sio	0	none	0	0		
examples/graphics/lib/test_ansi.sio	0	none	0	0		
examples/gui_hello/main.sio	0	none	0	0		
examples/hello.sio	0	none	0	0		
examples/hex_encode.sio	0	none	0	0		
examples/hexbin_demo/main.sio	0	none	0	0		
examples/higher_order.sio	0	none	0	0		
examples/hot_reload/server.sio	1	none	0	0	27	
examples/hsi_sedenion_demo.sio	1	E001	5	0		E002x4,E001x1
examples/hsi_tissue_classification.sio	1	E009	99	0		E016x64,E009x34,E137x1
examples/hssm_4way_benchmark.sio	0	none	0	0	436	
examples/hssm_bptt_ablation.sio	0	none	0	0	569	
examples/hssm_deep_listops.sio	0	none	0	0	366	
examples/hssm_native_algebra.sio	0	none	0	0	438	
examples/http/mod_demo.sio	1	E137	4	0		E137x3,E011x1
examples/hyperbolic_semantic_networks/_orc_helpers_block.sio	0	none	0	0		
examples/hyperbolic_semantic_networks/affect_net_curv_data.sio	0	none	0	0		
examples/hyperbolic_semantic_networks/affect_net_curvature.sio	1	E137	10	0		E137x10
examples/hyperbolic_semantic_networks/affect_network_orc.sio	1	E245	5	0		E245x3,E012x1,E004x1
examples/hyperbolic_semantic_networks/affect_orc_exact.sio	1	E137	11	0		E137x11
examples/hyperbolic_semantic_networks/affect_temporal_orc_data.sio	0	none	0	0		
examples/hyperbolic_semantic_networks/affect_temporal_orc_main.sio	1	E137	8	0		E137x8
examples/hyperbolic_semantic_networks/certified_ews_min_sample.sio	0	none	0	0		
