LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
110	U07-0000000103_S08-0000000162	16612121181748	12021977192885	6744	2646995792768	7240337945344	12534365246580	7393429036599	-20280398146920	7	-2.8406754667929512e-11	-2.8406753381865482e-11	1.2860640301440179e-18	true	true
111	U07-0000000103_S08-0000000163	16609694427813	12022844195310	6744	2646998834560	7240340937280	12534364312947	7393427990426	-20280547336818	7	-2.8400479657705508e-11	-2.8400478066004187e-11	1.5917013211217089e-18	true	true
112	U07-0000000103_S08-0000000164	16607267673878	12023711197736	6744	2647001873216	7240343926528	12534363358427	7393426920636	-20280696539627	7	-2.839420499526439e-11	-2.8394203442354305e-11	1.5529100852976209e-18	true	true
113	U07-0000000103_S08-0000000165	16604840919943	12024578200161	6744	2647004909824	7240346913920	12534362370067	7393425813618	-20280845747429	7	-2.8387931000332882e-11	-2.8387929510849103e-11	1.4894837790886984e-18	true	true
114	U07-0000000103_S08-0000000166	16602414166008	12025445202587	6744	2647007944384	7240349899648	12534361347520	7393424667815	-20280994960415	7	-2.8381657677485269e-11	-2.8381656271421827e-11	1.4060634414933381e-18	true	true
115	U07-0000000103_S08-0000000167	16599987412073	12026312205012	6744	2647010978112	7240352884672	12534360276058	7393423466996	-20281144169702	7	-2.8375385390853627e-11	-2.8375383724005729e-11	1.6668478977311069e-18	true	true
116	U07-0000000103_S08-0000000168	16597560658138	12027179207437	6744	2647014008896	7240355867072	12534359180598	7393422239982	-20281293389960	7	-2.8369113526036489e-11	-2.8369111868534045e-11	1.6575024434822255e-18	true	true
117	U07-0000000103_S08-0000000169	16595133904203	12028046209863	6744	2647017038528	7240358848512	12534358041750	7393420963296	-20281442609183	7	-2.8362842581845139e-11	-2.8362840704940011e-11	1.8769051280878462e-18	true	true
118	U07-0000000103_S08-0000000170	16592707150268	12028913212288	6744	2647020065216	7240361827264	12534356879125	7393419661077	-20281591839825	7	-2.8356572043642862e-11	-2.8356570233156847e-11	1.8104860145680473e-18	true	true
119	U07-0000000103_S08-0000000171	16590280396333	12029780214714	6744	2647023089280	7240364803904	12534355689912	7393418328039	-20281741079979	7	-2.8350301998306601e-11	-2.8350300453117775e-11	1.5451888260308814e-18	true	true
120	U07-0000000103_S08-0000000172	16587853642398	12030647217139	6744	2647026111680	7240367779072	12534354460374	7393416950690	-20281890321334	7	-2.8344032776961628e-11	-2.8344031364756009e-11	1.4122056194330624e-18	true	true
121	U07-0000000103_S08-0000000173	16585426888463	12031514219564	6744	2647029132800	7240370753024	12534353189599	7393415526441	-20282039563158	7	-2.8337764415240242e-11	-2.8337762968004751e-11	1.4472354905284613e-18	true	true
