LEAF_INDEX	STEPS	EVENT1_TIME	EVENT2_TIME	X2	Y2	ELL2	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD
175	6744	2.4075005010236055	6.5851154226693325	11.400647872921581	6.7250790384405263	-18.445957900847134	-2.8347131154323981e-11	-2.834712982650167e-11	1.3278223111265454e-18	true
176	6744	2.4075032524997368	6.5851181307807565	11.400646774235611	6.7250778074176196	-18.446093625911999	-2.8340862669816893e-11	-2.8340861250130278e-11	1.4196866150435978e-18	true
177	6744	2.4075060020550154	6.585120837262366	11.400645644079304	6.7250765418502851	-18.446229355895412	-2.8334594848074584e-11	-2.8334593365370054e-11	1.4827045299056406e-18	true
178	6744	2.4075087502133101	6.5851235425798222	11.400644478319919	6.7250752351556002	-18.446365087352206	-2.8328327840266288e-11	-2.8328326172154196e-11	1.6681120914322036e-18	true
179	6744	2.4075114956358448	6.5851262455107644	11.400643292216955	6.7250739062892535	-18.44650082984117	-2.8322061209408287e-11	-2.8322059670415884e-11	1.5389924031375496e-18	true
180	6744	2.4074901812127791	6.5851042019785382	11.400834858646704	6.7252885461202823	-18.444827714032726	-2.8396511136550319e-11	-2.839650963260719e-11	1.5039431288406726e-18	true
181	6744	2.40749294788111	6.5851069233613089	11.400834015866167	6.725287602210301	-18.444963402712347	-2.8390237354228122e-11	-2.8390235648944411e-11	1.7052837108480871e-18	true
182	6744	2.4074957121047191	6.5851096426486038	11.400833149730715	6.7252866314956918	-18.44509910105171	-2.8383964025859014e-11	-2.8383962357427211e-11	1.6684318032013039e-18	true
183	6744	2.4074984741164371	6.5851123600150459	11.400832255854766	6.7252856301302018	-18.445234805471955	-2.8377691291404868e-11	-2.8377689757988829e-11	1.5334160393550316e-18	true
184	6744	2.4075012341490947	6.5851150756934658	11.400831333258793	6.7252845965285815	-18.44537051592215	-2.8371419165185215e-11	-2.8371417850562506e-11	1.3146227089798754e-18	true
185	6744	2.4075039936578833	6.5851177907898091	11.400830363549176	6.7252835101389792	-18.445506220802599	-2.8365148163083649e-11	-2.8365146635081471e-11	1.5280021777887889e-18	true
186	6744	2.4075067513040267	6.5851205043145455	11.400829363352386	6.7252823892449669	-18.445641930624333	-2.8358877819555976e-11	-2.835887611147895e-11	1.7080770254596705e-18	true
187	6744	2.4075095062726177	6.5851232156273909	11.400828341511442	6.7252812440428897	-18.445777651450953	-2.8352607870967864e-11	-2.8352606279688157e-11	1.5912797078097255e-18	true
188	6744	2.4075122594949789	6.5851259253104217	11.400827287809989	6.7252800635033054	-18.445913375750024	-2.8346338632405321e-11	-2.8346337139642301e-11	1.4927630203048913e-18	true
189	6744	2.4075150109129027	6.5851286334218457	11.400826202309872	6.7252788469431835	-18.44604910347789	-2.8340070108868679e-11	-2.8340068691274586e-11	1.417594093663083e-18	true
190	6744	2.4075177611666732	6.5851313406019472	11.400825076854744	6.7252775858778477	-18.446184831031132	-2.8333802481416953e-11	-2.8333800934518209e-11	1.5468987440663478e-18	true
191	6744	2.4075205090921372	6.5851340456283651	11.400823925692748	6.7252762966891169	-18.446320566274153	-2.8327535379781744e-11	-2.832753386930636e-11	1.5104753838315267e-18	true
192	6744	2.4075232557370327	6.5851367496070452	11.400822737046838	6.7252749647041128	-18.446456301776379	-2.8321269142902354e-11	-2.8321267495572222e-11	1.6473301317382178e-18	true
