sample	kpc_before_rc	kpc_after_rc	kpc_before_cpu	kpc_after_cpu	kpc_accepted	thread_before_rc	thread_after_rc	thread_cycles_delta	thread_instructions_delta	absolute_time_delta	uptime_raw_delta
417	-1	-1	-1	-1	0	88	88	1333	4612	3	83
418	-1	-1	-1	-1	0	88	88	1330	4612	3	83
419	-1	-1	-1	-1	0	88	88	1325	4612	3	83
420	-1	-1	-1	-1	0	88	88	1886	4611	3	125
421	-1	-1	-1	-1	0	88	88	1367	4611	3	83
422	-1	-1	-1	-1	0	88	88	1350	4611	2	83
423	-1	-1	-1	-1	0	88	88	1388	4612	3	83
424	-1	-1	-1	-1	0	88	88	1325	4612	3	83
425	-1	-1	-1	-1	0	88	88	1326	4612	3	84
426	-1	-1	-1	-1	0	88	88	1338	4612	3	125
427	-1	-1	-1	-1	0	88	88	1484	4612	3	83
428	-1	-1	-1	-1	0	88	88	1339	4612	3	84
429	-1	-1	-1	-1	0	88	88	1331	4612	3	83
430	-1	-1	-1	-1	0	88	88	1473	4611	3	125
431	-1	-1	-1	-1	0	88	88	1324	4612	3	84
432	-1	-1	-1	-1	0	88	88	1320	4612	3	84
433	-1	-1	-1	-1	0	88	88	1348	4611	3	84
434	-1	-1	-1	-1	0	88	88	1433	4611	3	83
435	-1	-1	-1	-1	0	88	88	1457	4612	3	83
436	-1	-1	-1	-1	0	88	88	1325	4612	3	83
437	-1	-1	-1	-1	0	88	88	1327	4612	3	125
438	-1	-1	-1	-1	0	88	88	1346	4612	3	125
439	-1	-1	-1	-1	0	88	88	1346	4612	3	125
440	-1	-1	-1	-1	0	88	88	1505	4611	3	83
441	-1	-1	-1	-1	0	88	88	1353	4611	3	83
442	-1	-1	-1	-1	0	88	88	1334	4612	3	125
443	-1	-1	-1	-1	0	88	88	1328	4612	3	83
444	-1	-1	-1	-1	0	88	88	1332	4612	3	83
