file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
tests/native-v2/science_spine/knowledge_f64_struct.sio	0	0	0	0	trim	1	ok
tests/native-v2/science_spine/q_deform_arithmetic.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/octonion_fano_168.sio	0	0	0	0	trim	1	ok
tests/native-v2/science_spine/albert_jordan_product.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/fractal_quaternion_julia.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/grade_exact_geometric_product.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/wasserstein_orc.sio	1	0	-	0	-	-	a_only
tests/native-v2/science_spine/pbpk_two_compartment_fixed.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/tropical_epistemic.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/knowledge_octonion_variance.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/rapamycin_des_gum.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/clifford_grade_tracking.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/sedenion_zd_static.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/associator_gum.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/gum_euler_ode.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/q_deform_octonion.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/boolean_independence.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/epistemic_fixed_point.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/free_probability_rtr.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/science_spine/gum_iso_budget.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/local_option_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/ir_payload_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/option_box_fndef_payload_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/nested_struct_field_copy_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/machine_function_return_boundary_witness.sio	0	3	1	-	-	-	nv2_compile
tests/native/struct_fields.sio	0	0	42	42	1	1	ok
examples/native/fib.sio	0	3	0	-	-	-	nv2_compile
examples/native/struct_basic.sio	0	0	0	0	trim	1	ok
examples/native/struct_param.sio	0	0	0	0	trim	1	ok
examples/native/array_basics.sio	0	0	139	0	0	0	a_bug
examples/native/while_loop.sio	0	0	0	0	0	1	nv2_run
examples/native/enum_match.sio	0	0	0	0	trim	1	ok
examples/native/float_ops.sio	0	0	0	0	1	1	ok
examples/native/float_arith.sio	0	0	0	0	1	1	ok
examples/native/nested_field.sio	0	0	0	0	trim	1	ok
examples/native/fibonacci.sio	0	3	0	-	-	-	nv2_compile
examples/native/logical_ops.sio	0	0	0	0	trim	1	ok
examples/native/mutvar.sio	0	0	0	0	trim	1	ok
examples/native/hello.sio	0	0	0	0	trim	1	ok
examples/native/struct_return.sio	0	0	0	0	trim	1	ok
examples/native/struct_mutation.sio	0	0	0	0	trim	1	ok
